시간,홈앤쇼핑(오늘),홈앤쇼핑(어제),홈앤쇼핑(지난주),NS홈쇼핑,CJ ONSTYLE,홈&쇼핑
2026-06-02 15:42:00,2339,867,1378,2638,2472,2339
2026-06-02 15:42:10,2389,856,1396,2600,2527,2389
2026-06-02 15:42:20,2381,858,1410,2587,2478,2381
2026-06-02 15:42:30,2383,844,1391,2616,2498,2383
2026-06-02 15:42:40,2408,838,1381,2655,2465,2408
2026-06-02 15:42:50,2362,841,1380,2681,2435,2362
2026-06-02 15:43:00,2362,846,1331,2695,2437,2362
2026-06-02 15:43:10,2344,857,1274,2756,2477,2344
2026-06-02 15:43:20,2369,887,1283,2772,2537,2369
2026-06-02 15:43:30,2400,894,1315,2756,2623,2400
2026-06-02 15:43:40,2421,898,1354,2740,2601,2421
2026-06-02 15:43:50,2465,915,1401,2678,2591,2465
2026-06-02 15:44:00,2500,917,1419,2626,2509,2500
2026-06-02 15:44:10,2482,920,1434,2618,2515,2482
2026-06-02 15:44:20,2379,936,1458,2576,2527,2379
2026-06-02 15:44:30,2251,962,1429,2544,2491,2251
2026-06-02 15:44:40,2125,965,1365,2520,2466,2125
2026-06-02 15:44:50,2073,957,1343,2495,2457,2073
2026-06-02 15:45:00,2056,933,1357,2557,2468,2056
2026-06-02 15:45:10,2070,903,1404,2614,2515,2070
2026-06-02 15:45:20,2075,886,1466,2609,2586,2075
2026-06-02 15:45:30,2071,886,1512,2629,2556,2071
2026-06-02 15:45:40,2051,910,1510,2662,2590,2051
2026-06-02 15:45:50,2032,920,1451,2722,2573,2032
2026-06-02 15:46:00,1949,895,1398,2736,2606,1949
2026-06-02 15:46:10,1939,881,1325,2807,2613,1939
2026-06-02 15:46:20,1964,884,1354,2810,2545,1964
2026-06-02 15:46:30,1983,877,1383,2825,2428,1983
2026-06-02 15:46:40,1995,876,1433,2864,2329,1995
2026-06-02 15:46:50,2000,909,1438,2946,2311,2000
2026-06-02 15:47:00,2005,938,1386,3027,2304,2005
2026-06-02 15:47:10,2028,946,1336,2969,2290,2028
2026-06-02 15:47:20,2008,936,1332,2910,2247,2008
2026-06-02 15:47:30,2015,914,1340,2921,2244,2015
2026-06-02 15:47:40,2042,900,1344,2907,2255,2042
2026-06-02 15:47:50,2040,877,1373,2844,2278,2040
2026-06-02 15:48:00,2032,847,1365,2777,2352,2032
2026-06-02 15:48:10,2047,849,1338,2753,2321,2047
2026-06-02 15:48:20,2036,844,1333,2795,2325,2036
2026-06-02 15:48:30,2036,863,1370,2815,2325,2036
2026-06-02 15:48:40,2035,857,1410,2822,2298,2035
2026-06-02 15:48:50,2055,864,1431,2778,2280,2055
2026-06-02 15:49:00,2068,851,1422,2764,2235,2068
2026-06-02 15:49:10,2045,848,1411,2783,2226,2045
2026-06-02 15:49:20,2110,859,1445,2802,2224,2110
2026-06-02 15:49:30,2229,849,1494,2752,2201,2229
2026-06-02 15:49:40,2298,838,1537,2640,2216,2298
2026-06-02 15:49:50,2304,831,1534,2557,2182,2304
2026-06-02 15:50:00,2267,837,1509,2520,2109,2267
2026-06-02 15:50:10,2180,835,1483,2460,2099,2180
2026-06-02 15:50:20,2057,850,1438,2364,2081,2057
2026-06-02 15:50:30,2048,873,1380,2330,2099,2048
2026-06-02 15:50:40,2043,910,1421,2352,2143,2043
2026-06-02 15:50:50,2045,918,1450,2344,2122,2045
2026-06-02 15:51:00,2064,886,1441,2347,2118,2064
2026-06-02 15:51:10,2073,873,1413,2378,2131,2073
2026-06-02 15:51:20,2058,855,1465,2357,2122,2058
2026-06-02 15:51:30,2057,866,1569,2361,2068,2057
2026-06-02 15:51:40,2090,878,1722,2387,1984,2090
2026-06-02 15:51:50,2146,855,1837,2437,1963,2146
2026-06-02 15:52:00,2170,847,1850,2434,1907,2170
2026-06-02 15:52:10,2201,829,1757,2418,1875,2201
2026-06-02 15:52:20,2183,821,1617,2359,1860,2183
2026-06-02 15:52:30,2149,808,1484,2283,1810,2149
2026-06-02 15:52:40,2092,802,1336,2270,1802,2092
2026-06-02 15:52:50,2019,809,1289,2234,1818,2019
2026-06-02 15:53:00,2025,811,1261,2195,1801,2025
2026-06-02 15:53:10,2049,801,1226,2235,1753,2049
2026-06-02 15:53:20,2017,810,1210,2284,1733,2017
2026-06-02 15:53:30,2023,791,1214,2344,1739,2023
2026-06-02 15:53:40,2004,803,1197,2381,1691,2004
2026-06-02 15:53:50,2016,799,1197,2378,1649,2016
2026-06-02 15:54:00,2062,799,1186,2357,1659,2062
2026-06-02 15:54:10,2098,806,1177,2344,1673,2098
2026-06-02 15:54:20,2143,817,1165,2346,1655,2143
2026-06-02 15:54:30,2149,826,1163,2330,1631,2149
2026-06-02 15:54:40,2158,850,1190,2399,1617,2158
2026-06-02 15:54:50,2171,850,1201,2371,1623,2171
2026-06-02 15:55:00,2150,854,1208,2329,1607,2150
2026-06-02 15:55:10,2114,854,1217,2329,1622,2114
2026-06-02 15:55:20,2108,871,1213,2326,1646,2108
2026-06-02 15:55:30,2061,871,1223,2288,1652,2061
2026-06-02 15:55:40,2062,852,1225,2285,1668,2062
2026-06-02 15:55:50,2054,845,1234,2246,1684,2054
2026-06-02 15:56:00,2082,829,1238,2149,1673,2082
2026-06-02 15:56:10,2108,829,1237,2087,1642,2108
2026-06-02 15:56:20,2130,826,1239,2049,1632,2130
2026-06-02 15:56:30,2194,818,1236,2032,1626,2194
2026-06-02 15:56:40,2236,816,1239,2003,1629,2236
2026-06-02 15:56:50,2285,804,1250,1953,1626,2285
2026-06-02 15:57:00,2252,818,1282,1927,1641,2252
2026-06-02 15:57:10,2233,820,1287,1975,1642,2233
2026-06-02 15:57:20,2209,813,1299,1994,1635,2209
2026-06-02 15:57:30,2203,819,1289,1975,1650,2203
2026-06-02 15:57:40,2206,823,1289,1944,1665,2206
2026-06-02 15:57:50,2235,804,1309,1916,1683,2235
2026-06-02 15:58:00,2270,809,1310,1871,1694,2270
2026-06-02 15:58:10,2277,813,1333,1811,1722,2277
2026-06-02 15:58:20,2300,819,1342,1730,1736,2300
2026-06-02 15:58:30,2270,821,1338,1606,1710,2270
2026-06-02 15:58:40,2294,813,1327,1551,1689,2294
2026-06-02 15:58:50,2337,810,1307,1437,1699,2337
2026-06-02 15:59:00,2442,829,1303,1424,1715,2442
2026-06-02 15:59:10,2473,826,1307,1430,1736,2473
2026-06-02 15:59:20,2495,834,1300,1427,1729,2495
2026-06-02 15:59:30,2494,861,1309,1437,1739,2494
2026-06-02 15:59:40,2474,874,1322,1438,1777,2474
2026-06-02 15:59:50,2453,911,1334,1433,1831,2453
2026-06-02 16:00:00,2426,935,1347,1434,1838,2426
2026-06-02 16:00:10,2340,947,1339,1432,1826,2340
2026-06-02 16:00:20,2251,938,1320,1436,1810,2251
2026-06-02 16:00:30,2175,938,1333,1441,1754,2175
2026-06-02 16:00:40,2083,947,1357,1455,1753,2083
2026-06-02 16:00:50,1996,940,1395,1460,1726,1996
2026-06-02 16:01:00,1920,902,1407,1470,1702,1920
2026-06-02 16:01:10,1943,896,1404,1484,1707,1943
2026-06-02 16:01:20,1971,891,1404,1493,1758,1971
2026-06-02 16:01:30,2037,904,1434,1491,1818,2037
2026-06-02 16:01:40,2030,907,1454,1496,1859,2030
2026-06-02 16:01:50,2042,927,1455,1472,1860,2042
2026-06-02 16:02:00,1966,924,1457,1474,1831,1966
2026-06-02 16:02:10,1962,921,1458,1467,1781,1962
2026-06-02 16:02:20,1996,956,1478,1459,1771,1996
2026-06-02 16:02:30,2035,960,1500,1462,1804,2035
2026-06-02 16:02:40,2067,964,1525,1430,1832,2067
2026-06-02 16:02:50,2077,916,1537,1412,1806,2077
2026-06-02 16:03:00,2073,870,1543,1399,1815,2073
2026-06-02 16:03:10,2078,858,1541,1406,1928,2078
2026-06-02 16:03:20,2116,839,1598,,,
2026-06-02 16:03:30,2136,837,1656,,,
2026-06-02 16:03:40,2109,864,1737,,,
2026-06-02 16:03:50,2059,842,1828,,,
2026-06-02 16:04:00,1954,818,1899,,,
2026-06-02 16:04:10,1918,804,1968,,,
2026-06-02 16:04:20,1931,763,1961,,,
2026-06-02 16:04:30,1940,757,1978,,,
2026-06-02 16:04:40,1954,743,2026,,,
2026-06-02 16:04:50,1970,737,2057,,,
2026-06-02 16:05:00,1964,733,2037,,,
2026-06-02 16:05:10,1955,743,2087,,,
2026-06-02 16:05:20,1950,756,2127,,,
2026-06-02 16:05:30,1972,769,2206,,,
2026-06-02 16:05:40,1983,755,2120,,,
2026-06-02 16:05:50,2002,748,1999,,,
2026-06-02 16:06:00,2038,717,1878,,,
2026-06-02 16:06:10,2038,722,1890,,,
2026-06-02 16:06:20,2069,745,1908,,,
2026-06-02 16:06:30,2073,717,1925,,,
2026-06-02 16:06:40,2086,699,1997,,,
2026-06-02 16:06:50,2111,698,2141,,,
2026-06-02 16:07:00,2103,703,2148,,,
2026-06-02 16:07:10,2066,712,2005,,,
2026-06-02 16:07:20,2023,713,1806,,,
2026-06-02 16:07:30,1934,725,1761,,,
2026-06-02 16:07:40,1921,720,1754,,,
2026-06-02 16:07:50,1924,721,1730,,,
2026-06-02 16:08:00,1909,740,1768,,,
2026-06-02 16:08:10,1907,736,1820,,,
2026-06-02 16:08:20,1951,747,1881,,,
2026-06-02 16:08:30,1980,766,1951,,,
2026-06-02 16:08:40,1986,770,1968,,,
2026-06-02 16:08:50,1989,756,1978,,,
2026-06-02 16:09:00,2003,736,2006,,,
2026-06-02 16:09:10,2002,733,2009,,,
2026-06-02 16:09:20,2013,734,2007,,,
2026-06-02 16:09:30,2017,736,2033,,,
2026-06-02 16:09:40,2016,730,2042,,,
2026-06-02 16:09:50,2037,719,2091,,,
2026-06-02 16:10:00,2061,723,2177,,,
2026-06-02 16:10:10,2068,726,2232,,,
2026-06-02 16:10:20,2066,722,2207,,,
2026-06-02 16:10:30,2046,719,2143,,,
2026-06-02 16:10:40,2024,726,2033,,,
2026-06-02 16:10:50,2046,712,2007,,,
2026-06-02 16:11:00,2014,707,2042,,,
2026-06-02 16:11:10,1987,714,2119,,,
2026-06-02 16:11:20,1953,718,2272,,,
2026-06-02 16:11:30,1877,742,2313,,,
2026-06-02 16:11:40,1876,739,2206,,,
2026-06-02 16:11:50,1884,747,2002,,,
2026-06-02 16:12:00,1878,749,1864,,,
2026-06-02 16:12:10,1913,748,1838,,,
2026-06-02 16:12:20,1927,756,1818,,,
2026-06-02 16:12:30,1914,756,1820,,,
2026-06-02 16:12:40,1921,754,1837,,,
2026-06-02 16:12:50,1912,770,1877,,,
2026-06-02 16:13:00,1925,784,1920,,,
2026-06-02 16:13:10,1914,783,1900,,,
2026-06-02 16:13:20,1924,788,1948,,,
2026-06-02 16:13:30,1957,803,1982,,,
2026-06-02 16:13:40,1993,823,2001,,,
2026-06-02 16:13:50,2062,840,2008,,,
2026-06-02 16:14:00,2116,846,2010,,,
2026-06-02 16:14:10,2156,853,2056,,,
2026-06-02 16:14:20,2136,870,2194,,,
2026-06-02 16:14:30,2082,879,2279,,,
2026-06-02 16:14:40,1955,898,2176,,,
2026-06-02 16:14:50,1885,883,2025,,,
2026-06-02 16:15:00,1886,854,1961,,,
2026-06-02 16:15:10,1906,842,1932,,,
2026-06-02 16:15:20,1919,830,1935,,,
2026-06-02 16:15:30,1935,832,1933,,,
2026-06-02 16:15:40,1951,829,1958,,,
2026-06-02 16:15:50,1978,815,1964,,,
2026-06-02 16:16:00,1990,807,2058,,,
2026-06-02 16:16:10,2039,779,2075,,,
2026-06-02 16:16:20,2050,784,2069,,,
2026-06-02 16:16:30,2071,782,1968,,,
2026-06-02 16:16:40,2054,799,1936,,,
2026-06-02 16:16:50,2026,816,1963,,,
2026-06-02 16:17:00,2036,808,1992,,,
2026-06-02 16:17:10,2064,802,2052,,,
2026-06-02 16:17:20,2075,792,2123,,,
2026-06-02 16:17:30,2100,791,2098,,,
2026-06-02 16:17:40,2133,815,2096,,,
2026-06-02 16:17:50,2170,810,2166,,,
2026-06-02 16:18:00,2220,820,2127,,,
2026-06-02 16:18:10,2198,849,1914,,,
2026-06-02 16:18:20,2154,880,1864,,,
2026-06-02 16:18:30,2144,869,1848,,,
2026-06-02 16:18:40,2194,840,1857,,,
2026-06-02 16:18:50,2228,833,1913,,,
2026-06-02 16:19:00,2223,824,1992,,,
2026-06-02 16:19:10,2164,813,1951,,,
2026-06-02 16:19:20,2220,806,1855,,,
2026-06-02 16:19:30,2277,805,1738,,,
2026-06-02 16:19:40,2334,828,1744,,,
2026-06-02 16:19:50,2392,849,1764,,,
2026-06-02 16:20:00,2416,865,1740,,,
2026-06-02 16:20:10,2345,870,1721,,,
2026-06-02 16:20:20,2249,866,1750,,,
2026-06-02 16:20:30,2165,853,1784,,,
2026-06-02 16:20:40,2059,850,1800,,,
2026-06-02 16:20:50,2013,857,1844,,,
2026-06-02 16:21:00,2006,869,1900,,,
2026-06-02 16:21:10,1971,849,1956,,,
2026-06-02 16:21:20,1927,818,1977,,,
2026-06-02 16:21:30,1875,811,1901,,,
2026-06-02 16:21:40,1899,835,1783,,,
2026-06-02 16:21:50,1911,822,1781,,,
2026-06-02 16:22:00,1874,812,1778,,,
2026-06-02 16:22:10,1812,826,1779,,,
2026-06-02 16:22:20,1772,806,1812,,,
2026-06-02 16:22:30,1782,806,1834,,,
2026-06-02 16:22:40,1731,783,1809,,,
2026-06-02 16:22:50,1706,776,1780,,,
2026-06-02 16:23:00,1703,773,1781,,,
2026-06-02 16:23:10,1685,777,1812,,,
2026-06-02 16:23:20,1681,757,1835,,,
2026-06-02 16:23:30,1654,750,1873,,,
2026-06-02 16:23:40,1754,768,1883,,,
2026-06-02 16:23:50,1887,777,1885,,,
2026-06-02 16:24:00,1958,796,1922,,,
2026-06-02 16:24:10,1936,807,1996,,,
2026-06-02 16:24:20,1913,823,2082,,,
2026-06-02 16:24:30,1962,846,2074,,,
2026-06-02 16:24:40,2029,836,1952,,,
2026-06-02 16:24:50,2138,840,1849,,,
2026-06-02 16:25:00,2336,862,1801,,,
2026-06-02 16:25:10,2391,900,1806,,,
2026-06-02 16:25:20,2275,933,1842,,,
2026-06-02 16:25:30,2041,897,1879,,,
2026-06-02 16:25:40,1953,897,1974,,,
2026-06-02 16:25:50,1919,882,1961,,,
2026-06-02 16:26:00,1963,880,1831,,,
2026-06-02 16:26:10,2027,879,1726,,,
2026-06-02 16:26:20,2022,878,1756,,,
2026-06-02 16:26:30,2025,871,1760,,,
2026-06-02 16:26:40,1998,879,1763,,,
2026-06-02 16:26:50,1953,878,1778,,,
2026-06-02 16:27:00,1965,874,1763,,,
2026-06-02 16:27:10,1946,867,1709,,,
2026-06-02 16:27:20,1950,849,1724,,,
2026-06-02 16:27:30,1947,837,1744,,,
2026-06-02 16:27:40,1967,834,1756,,,
2026-06-02 16:27:50,1935,843,1768,,,
2026-06-02 16:28:00,1852,827,1799,,,
2026-06-02 16:28:10,1767,818,1864,,,
2026-06-02 16:28:20,1771,825,1922,,,
2026-06-02 16:28:30,1789,833,1944,,,
2026-06-02 16:28:40,1838,847,1966,,,
2026-06-02 16:28:50,1879,865,1954,,,
2026-06-02 16:29:00,1902,856,1926,,,
2026-06-02 16:29:10,1885,846,1934,,,
2026-06-02 16:29:20,1872,859,1976,,,
2026-06-02 16:29:30,1859,869,1987,,,
2026-06-02 16:29:40,1828,868,2021,,,
2026-06-02 16:29:50,1793,878,2053,,,
2026-06-02 16:30:00,1809,905,2084,,,
2026-06-02 16:30:10,1829,877,2096,,,
2026-06-02 16:30:20,1844,859,2019,,,
2026-06-02 16:30:30,1877,865,1904,,,
2026-06-02 16:30:40,1848,830,1895,,,
2026-06-02 16:30:50,1859,816,1929,,,
2026-06-02 16:31:00,1899,808,1970,,,
2026-06-02 16:31:10,1921,799,2050,,,
2026-06-02 16:31:20,1967,807,2086,,,
2026-06-02 16:31:30,2035,794,2116,,,
2026-06-02 16:31:40,2038,785,2155,,,
2026-06-02 16:31:50,2013,776,2284,,,
2026-06-02 16:32:00,1987,770,2300,,,
2026-06-02 16:32:10,1979,775,2176,,,
2026-06-02 16:32:20,2002,767,1967,,,
2026-06-02 16:32:30,1993,771,1893,,,
2026-06-02 16:32:40,2011,755,1893,,,
2026-06-02 16:32:50,2016,739,1952,,,
2026-06-02 16:33:00,2016,736,2033,,,
2026-06-02 16:33:10,2046,748,2059,,,
2026-06-02 16:33:20,2068,763,2018,,,
2026-06-02 16:33:30,2023,767,1907,,,
2026-06-02 16:33:40,1999,776,1792,,,
2026-06-02 16:33:50,2039,810,1790,,,
2026-06-02 16:34:00,2060,845,1784,,,
2026-06-02 16:34:10,2058,872,1831,,,
2026-06-02 16:34:20,2067,875,1866,,,
2026-06-02 16:34:30,2071,873,1856,,,
2026-06-02 16:34:40,2146,871,1809,,,
2026-06-02 16:34:50,2184,865,1841,,,
2026-06-02 16:35:00,2213,854,1851,,,
2026-06-02 16:35:10,2315,850,1851,,,
2026-06-02 16:35:20,2325,863,1854,,,
2026-06-02 16:35:30,2255,850,1869,,,
2026-06-02 16:35:40,2103,843,1865,,,
2026-06-02 16:35:50,2001,847,1862,,,
2026-06-02 16:36:00,1944,828,1903,,,
2026-06-02 16:36:10,1974,821,2001,,,
2026-06-02 16:36:20,2026,821,2082,,,
2026-06-02 16:36:30,2084,813,2076,,,
2026-06-02 16:36:40,2083,830,2015,,,
2026-06-02 16:36:50,2082,824,1897,,,
2026-06-02 16:37:00,2052,807,1902,,,
2026-06-02 16:37:10,2017,801,1847,,,
2026-06-02 16:37:20,2035,819,1889,,,
2026-06-02 16:37:30,1960,841,1940,,,
2026-06-02 16:37:40,1911,860,1989,,,
2026-06-02 16:37:50,1975,869,1954,,,
2026-06-02 16:38:00,2008,894,1797,,,
2026-06-02 16:38:10,2055,901,1640,,,
2026-06-02 16:38:20,2083,890,1645,,,
2026-06-02 16:38:30,2110,854,1660,,,
2026-06-02 16:38:40,2044,844,1666,,,
2026-06-02 16:38:50,1929,864,1702,,,
2026-06-02 16:39:00,1833,899,1756,,,
2026-06-02 16:39:10,1860,928,1789,,,
2026-06-02 16:39:20,1866,905,1816,,,
2026-06-02 16:39:30,1890,877,1819,,,
2026-06-02 16:39:40,1912,878,1804,,,
2026-06-02 16:39:50,1929,886,1793,,,
2026-06-02 16:40:00,1917,907,1817,,,
2026-06-02 16:40:10,1899,907,1836,,,
2026-06-02 16:40:20,1911,902,1846,,,
2026-06-02 16:40:30,1893,902,1871,,,
2026-06-02 16:40:40,1815,909,1867,,,
2026-06-02 16:40:50,1770,908,1881,,,
2026-06-02 16:41:00,1761,921,1932,,,
2026-06-02 16:41:10,1848,898,2027,,,
2026-06-02 16:41:20,1983,889,2007,,,
2026-06-02 16:41:30,2089,880,1910,,,
2026-06-02 16:41:40,2114,880,1792,,,
2026-06-02 16:41:50,2152,875,1793,,,
